Combined L1 Data for 2024-05-06 (Despiked, Unpropagated) (GSM nT, km/s, cm^-3, K)
year  mo  dy  hr  mn  sc msc Bx By Bz Ux Uy Uz rho T nSat satUsed
#START
2024  5  6  2  4  0   0    -4.27    10.82     8.35   -386.12    -23.60    -24.71    5.6300   113667.0  3  0
2024  5  6  2  5  0   0    -3.95    10.99     8.43   -385.27    -19.70    -24.26    5.5800   110626.0  3  0
2024  5  6  2  6  0   0    -3.40    11.05     8.50   -385.47    -17.81    -23.80    5.9008   110833.0  3  0
2024  5  6  2  7  0   0    -3.62    10.93     8.00   -385.90    -17.86    -22.51    5.9599   108579.0  3  0
2024  5  6  2  8  0   0    -3.02    11.25     7.93   -385.16    -18.50    -21.22    6.0190   110119.0  3  0
2024  5  6  2  9  0   0    -2.29    11.32     8.32   -390.38    -21.10    -20.03    5.9309    99411.0  3  0
2024  5  6  2 10  0   0    -2.34    11.11     8.47   -394.87    -18.60    -17.93    6.0281   106100.0  3  0
2024  5  6  2 11  0   0    -2.85    10.81     8.86   -389.48    -17.29    -15.83    5.9900   110577.1  3  0
2024  5  6  2 12  0   0    -4.36    10.79     8.88   -386.80    -17.39    -17.95    4.9700    85059.3  3  0
2024  5  6  2 13  0   0    -3.82    10.51     9.10   -387.06    -17.49    -20.07    5.6600   110577.1  3  0
2024  5  6  2 14  0   0    -3.96     9.93     9.38   -384.18    -13.79    -16.93    6.0400   114256.0  3  0
2024  5  6  2 15  0   0    -3.33    10.71     8.94   -390.53    -15.30    -16.60    6.4353   111533.0  3  0
2024  5  6  2 16  0   0    -2.69    10.80     8.88   -389.72    -17.13    -16.28    6.6123   104758.0  3  0
2024  5  6  2 17  0   0    -2.86    10.05     9.90   -388.91    -15.24    -14.05    6.5903   101309.0  3  0
2024  5  6  2 18  0   0    -3.12    10.28     9.55   -388.10    -13.80    -16.15    6.5682    98940.0  3  0
2024  5  6  2 19  0   0    -3.54    10.64     9.08   -382.25    -16.50    -15.58    6.9383   101412.0  3  0
2024  5  6  2 20  0   0    -4.10    10.76     8.73   -386.38    -13.96    -16.29    7.3084   117311.0  3  0
2024  5  6  2 21  0   0    -3.92    11.25     8.14   -388.45    -14.05    -19.27    7.6784   115371.0  3  0
2024  5  6  2 22  0   0    -4.36    11.01     7.05   -386.72    -18.02    -11.67    5.9065    88746.9  2  1
2024  5  6  2 23  0   0    -4.24    10.62     7.39   -387.49    -16.54    -25.22    5.6300   113333.9  3  0
2024  5  6  2 24  0   0    -4.44    10.71     8.10   -385.13    -14.19    -26.45    5.7900   111416.1  3  0
2024  5  6  2 25  0   0    -4.32    10.93     8.09   -382.21    -14.16    -27.68    5.6200   109539.2  3  0
2024  5  6  2 26  0   0    -4.16    11.06     7.02   -378.44    -20.60    -28.92    5.5700   107662.2  3  0
2024  5  6  2 27  0   0    -4.21    10.57     7.67   -378.29    -21.64     -7.19    5.5700    82817.1  2  1
2024  5  6  2 28  0   0    -4.36    10.45     7.97   -378.63    -14.90    -31.39    5.5600   103908.4  3  0
2024  5  6  2 29  0   0    -3.84    11.15     8.00   -378.96    -16.22    -26.61    5.8500   105307.0  3  0
2024  5  6  2 30  0   0    -3.56    10.73     8.65   -382.52    -17.45    -26.96    6.0000   104920.8  3  0
2024  5  6  2 31  0   0    -3.41    10.30     9.29   -383.38    -17.80    -27.31    6.3100   104535.3  3  0
2024  5  6  2 32  0   0    -3.97    10.62     8.66   -386.13    -18.41    -26.97    6.4600   106054.1  3  0
2024  5  6  2 33  0   0    -4.31    10.93     6.80   -379.90    -17.95    -15.50    5.8000    90092.0  3  0
2024  5  6  2 34  0   0    -3.36    11.49     6.33   -379.00    -11.43    -11.69    6.2500    96995.0  3  0
2024  5  6  2 35  0   0    -3.60    10.86     7.10   -381.70    -12.08    -26.90    6.3500    94341.0  3  0
2024  5  6  2 36  0   0    -4.51    11.23     6.12   -368.66    -18.51    -21.90    6.5100    87145.0  3  0
2024  5  6  2 37  0   0    -5.35    11.31     6.08   -368.44    -13.46    -34.86    6.9500    80985.0  3  0
2024  5  6  2 38  0   0    -5.21    11.56     5.90   -370.59    -21.28     -2.10    8.9397    70882.0  3  0
2024  5  6  2 39  0   0    -4.70    10.59     7.36   -372.01    -19.56     -7.70    8.7453    73239.0  3  0
2024  5  6  2 40  0   0    -4.61    11.02     6.66   -375.40    -20.85    -13.09    8.7976    70372.0  3  0
2024  5  6  2 41  0   0    -4.78    10.71     7.48   -369.92    -20.49    -15.50    8.8500    81179.0  3  0
2024  5  6  2 42  0   0    -4.64    10.71     7.57   -371.86    -17.59    -13.20    9.0327    76243.0  3  0
2024  5  6  2 43  0   0    -4.62    10.78     7.50   -375.53    -20.06    -12.48    8.0100    72198.0  3  0
2024  5  6  2 44  0   0    -4.46    10.92     7.11   -376.70    -17.34    -17.19    7.8843    77498.0  3  0
2024  5  6  2 45  0   0    -4.26    11.32     6.64   -376.57    -17.56    -12.92    7.9237    67570.0  3  0
2024  5  6  2 46  0   0    -3.99    11.04     6.59   -376.67    -17.77    -15.20    7.9632    71112.0  3  0
2024  5  6  2 47  0   0    -4.11    10.99     7.52   -374.23    -18.05    -16.90    7.8906    92445.6  3  0
